step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
5399,45,,28.919336318969727,5.70273494720459,8.185004234313965,15.031597137451172,0.9773809909820556,27.82454490661621,5.582631587982178,9.06070041656494,13.181214332580566,0.8716957569122314
5400,46,0.0004269231285434,,,,,,,,,,
5449,46,,,,,,0.869368314743042,,,,,
5499,46,,,,,,0.7925470471382141,,,,,
5519,46,,27.735519409179688,5.96690559387207,7.507462024688721,14.261152267456056,,27.580860137939453,5.582631587982178,6.468763828277588,15.529463768005373,0.9001927375793457
5520,47,0.0004229201294947,,,,,,,,,,
5549,47,,,,,,0.9759366512298584,,,,,
5599,47,,,,,,0.8912361264228821,,,,,
5639,47,,27.173614501953125,6.014261245727539,7.141677379608154,14.017675399780272,,28.001771926879883,5.139565944671631,8.019495010375977,14.842711448669434,0.8880305886268616
5640,48,0.0004188303137198,,,,,,,,,,
5649,48,,,,,,1.0004709959030151,,,,,
5699,48,,,,,,0.8658623695373535,,,,,
5749,48,,,,,,0.899544894695282,,,,,
5759,48,,26.78843879699707,6.110584259033203,6.95858907699585,13.71926498413086,,27.02702713012696,5.449711799621582,6.645990371704102,14.93132495880127,0.9009680151939392
5760,49,0.0004146557184867,,,,,,,,,,
5799,49,,,,,,0.8848555088043213,,,,,
5849,49,,,,,,0.8259955644607544,,,,,
5879,49,,25.744949340820312,6.158337593078613,6.251542091369629,13.33506965637207,,26.93841361999512,5.826318264007568,6.623836994171143,14.488258361816406,0.8734200596809387
5880,50,0.0004103984683752,,,,,,,,,,
5899,50,,,,,,0.8227555751800537,,,,,
5949,50,,,,,,0.846161961555481,,,,,
5999,50,,25.777881622314453,5.988898277282715,6.404870510101318,13.384113311767578,0.860324501991272,27.093486785888672,5.649091720581055,7.554275512695312,13.890119552612305,0.869635283946991
6000,51,0.0004060607170686,,,,,,,,,,
6049,51,,,,,,0.7261779308319092,,,,,
6099,51,,,,,,0.773970365524292,,,,,
6119,51,,24.61872673034668,5.652048587799072,6.07835865020752,12.888320922851562,,30.54940223693848,4.364200115203857,10.943730354309082,15.24147129058838,0.9839696288108826
6120,52,0.0004016446182504,,,,,,,,,,
6149,52,,,,,,0.8652790188789368,,,,,
6199,52,,,,,,0.9714688062667848,,,,,
6239,52,,25.1083927154541,5.93919038772583,6.197954654693604,12.971246719360352,,26.20735549926757,5.826318264007568,4.408506870269775,15.972530364990234,0.9006428122520447
6240,53,0.0003971524129156,,,,,,,,,,
6249,53,,,,,,0.7503178119659424,,,,,
6299,53,,,,,,0.8389744758605957,,,,,
6349,53,,,,,,0.8583638072013855,,,,,
6359,53,,24.702098846435547,5.764235496520996,5.959400177001953,12.978463172912598,,27.270713806152344,5.228178977966309,8.79486083984375,13.247673988342283,0.9110633730888368
6360,54,0.0003925863711629,,,,,,,,,,
6399,54,,,,,,0.6798236966133118,,,,,
6449,54,,,,,,0.7860735058784485,,,,,
6479,54,,23.922372817993164,5.910103797912598,5.613016605377197,12.399251937866213,,26.163047790527344,6.025697708129883,4.652193069458008,15.485157012939451,0.8919609785079956
6480,55,0.0003879487921949,,,,,,,,,,
6499,55,,,,,,0.6784789562225342,,,,,
6549,55,,,,,,0.7970333099365234,,,,,
6599,55,,23.377302169799805,5.986534595489502,5.491893291473389,11.898873329162598,0.790108859539032,25.69782829284668,5.183872222900391,6.579530239105225,13.934426307678224,0.8605726957321167
6600,56,0.0003832420043181,,,,,,,,,,
6649,56,,,,,,0.7476174831390381,,,,,
6699,56,,,,,,0.6892649531364441,,,,,
6719,56,,22.973716735839844,6.060272693634033,5.3295722007751465,11.583871841430664,,25.09968948364257,5.671245098114014,5.20602560043335,14.222418785095217,0.851158618927002
6720,57,0.0003784683649428,,,,,,,,,,
6749,57,,,,,,0.7879582643508911,,,,,
