step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
6839,57,,12.827816009521484,5.4060378074646,2.729849576950073,4.691928863525391,,23.57111167907715,4.031900882720947,8.24102783203125,11.29818344116211,0.8192532658576965
6840,58,0.0003736302896868,,,,,,,,,,
6849,58,,,,,,0.4327237904071808,,,,,
6899,58,,,,,,0.4734909534454345,,,,,
6949,58,,,,,,0.4227978885173797,,,,,
6959,58,,13.440268516540527,5.43388557434082,2.935673713684082,5.070709228515625,,22.419139862060547,5.028799057006836,4.674346446990967,12.715994834899902,0.7855883240699768
6960,59,0.0003687302232719,,,,,,,,,,
6999,59,,,,,,0.4346939921379089,,,,,
7049,59,,,,,,0.51524418592453,,,,,
7079,59,,12.8516263961792,5.359425067901611,2.70169997215271,4.790501594543457,,22.88435935974121,5.4940185546875,4.962339401245117,12.428001403808594,0.8350628018379211
7080,60,0.0003637706395238,,,,,,,,,,
7099,60,,,,,,0.4017825722694397,,,,,
7149,60,,,,,,0.4658502638339996,,,,,
7199,60,,12.37635326385498,5.3368821144104,2.625910520553589,4.413560390472412,0.5035393834114075,22.84005355834961,4.519273281097412,6.557376861572266,11.763402938842772,0.8029824495315552
7200,61,0.0003587539831642,,,,,,,,,,
7249,61,,,,,,0.3689112663269043,,,,,
7299,61,,,,,,0.4412882626056671,,,,,
7319,61,,12.337706565856934,5.381603240966797,2.7093493938446045,4.246754169464111,,24.67877769470215,5.006646156311035,5.006646156311035,14.665485382080078,0.8979607224464417
7320,62,0.0003536828444339,,,,,,,,,,
7349,62,,,,,,0.4491174221038818,,,,,
7399,62,,,,,,0.404390275478363,,,,,
7439,62,,12.136569023132324,5.439962863922119,2.5531156063079834,4.143490791320801,,22.79574584960937,4.209126949310303,6.025697708129883,12.560921669006348,0.8204138875007629
7440,63,0.0003485597553662,,,,,,,,,,
7449,63,,,,,,0.3595121204853058,,,,,
7499,63,,,,,,0.3379770815372467,,,,,
7549,63,,,,,,0.3834012150764465,,,,,
7559,63,,11.336917877197266,5.084769248962402,2.5547595024108887,3.697388887405396,,25.675676345825195,4.497119903564453,7.576428890228271,13.602127075195312,0.9636279940605164
7560,64,0.0003433872770983,,,,,,,,,,
